fiscal_year,total_tokens,unique_tokens,lexical_diversity,shannon_entropy,hedge_per_1k,nom_per_1k,document_type
FY1961,8122,2062,0.2539,9.21,3.8,59.1,R&D+General
FY1962,11315,2285,0.2019,9.16,5.6,60.0,R&D+General
FY1963,12502,2330,0.1864,9.04,3.3,69.7,Construction
FY1964,9214,1967,0.2135,8.87,3.0,59.8,R&D+General
FY1965,48237,3468,0.1946,9.17,4.7,62.7,R&D-Volumes-Sampled-LD
FY1966,59349,3242,0.1771,9.16,4.4,64.5,R&D-Volumes-excl-V4
FY1967,46433,2832,0.1817,9.1,2.9,61.9,R&D-Volumes
FY1968,51118,3657,0.206,9.24,2.9,59.3,R&D-Volumes
FY1969,25358,2930,0.1756,9.05,3.3,57.8,R&D-Volumes
FY1970,23171,2319,0.1638,8.87,1.8,69.7,R&D-Volumes
FY1971,30076,3289,0.2006,9.17,3.6,59.6,R&D-Volumes
FY1972,18692,1832,0.1464,8.66,1.7,66.2,R&D-Volumes
FY1973,121963,2407,0.2407,9.14,4.5,63.1,Budget-Estimates-Vol1-3
FY1974,128146,2576,0.2576,9.14,4.0,60.6,Budget-Estimates-Vol1-3
FY1975,130190,2303,0.2303,9.00,4.2,62.6,Budget-Estimates-Vol1-3
FY1976,132819,2271,0.2271,8.94,7.7,63.1,Budget-Estimates-Vol1-3
